Region,Building_type,Steel,Concrete,Wood,Copper,Aluminium,Glass,Cement
1,1,32.31,876.71,48.75,1.73,9.27,2.68,0
1,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
1,3,97.36,995.92,37.17,0.31,1.94,6.35,0
1,4,45.78,1040.35,28.66,0.01,2.20,1.20,0
2,1,7.26,472.10,48.45,0.80,1.84,3.32,0
2,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
2,3,1.24,57.69,37.17,0.31,4.92,6.35,0
2,4,61.48,265.24,54.48,0.01,3.05,4.42,0
3,1,32.63,846.33,53.07,1.73,3.56,2.68,0
3,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
3,3,97.36,995.92,37.17,0.31,1.94,6.35,0
3,4,116.98,910.21,54.48,0.01,2.20,4.42,0
4,1,35.50,735.00,90.00,1.73,3.56,2.68,0
4,2,27.00,1315.00,40.00,0.01,0.23,1.07,0
4,3,97.36,995.92,37.17,0.31,1.94,6.35,0
4,4,116.98,910.21,54.48,0.01,2.20,4.42,0
5,1,32.63,897.65,868.96,1.73,3.56,0.80,0
5,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
5,3,97.36,995.92,37.17,0.31,1.94,6.35,0
5,4,116.98,611.19,20.63,0.01,2.20,0.66,0
6,1,35.15,607.64,19.78,1.73,3.56,1.18,0
6,2,39.29,894.86,17.68,0.01,0.23,1.07,0
6,3,37.50,933.00,2.70,0.31,1.94,1.80,0
6,4,116.98,910.21,54.48,0.01,2.20,4.42,0
7,1,32.63,846.33,53.07,1.73,3.56,2.68,0
7,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
7,3,97.36,995.92,37.17,0.31,1.94,6.35,0
7,4,116.98,910.21,54.48,0.01,2.20,4.42,0
8,1,8.93,675.66,6.89,1.73,2.89,0.04,0
8,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
8,3,26.73,995.92,42.06,0.31,1.94,6.35,0
8,4,116.98,910.21,54.48,0.01,2.20,4.42,0
9,1,32.63,846.33,53.07,1.73,3.56,2.68,0
9,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
9,3,97.36,995.92,37.17,0.31,1.94,6.35,0
9,4,116.98,910.21,54.48,0.01,2.20,4.42,0
10,1,32.63,846.33,53.07,0.77,3.56,2.68,0
10,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
10,3,97.36,995.92,37.17,0.39,1.94,6.35,0
10,4,116.98,910.21,54.48,0.01,2.20,4.42,0
11,1,47.90,1507.04,77.29,3.11,0.93,2.51,0
11,2,24.63,796.02,35.77,0.01,0.23,1.07,0
11,3,76.24,567.99,49.88,0.15,0.46,11.21,0
11,4,142.30,850.70,27.00,0.01,2.20,4.75,0
12,1,32.63,1892.83,99.36,1.73,3.56,33.54,0
12,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
12,3,97.36,810.86,22.71,0.31,1.94,6.35,0
12,4,116.98,902.59,2.54,0.01,2.20,4.42,0
13,1,32.63,846.33,53.07,1.73,3.56,2.68,0
13,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
13,3,75.50,1507.64,9.57,0.31,1.94,6.35,0
13,4,40.65,768.27,8.08,0.01,2.20,4.42,0
14,1,32.63,846.33,53.07,1.73,3.56,2.68,0
14,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
14,3,97.36,995.92,37.17,0.31,1.94,6.35,0
14,4,116.98,910.21,54.48,0.01,2.20,4.42,0
15,1,32.63,846.33,53.07,1.73,3.56,2.68,0
15,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
15,3,97.36,995.92,37.17,0.31,1.94,6.35,0
15,4,116.98,910.21,54.48,0.01,2.20,4.42,0
16,1,32.63,846.33,53.07,1.73,3.56,2.68,0
16,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
16,3,97.36,995.92,37.17,0.31,1.94,6.35,0
16,4,116.98,910.21,54.48,0.01,2.20,4.42,0
17,1,102.55,1641.98,11.88,1.73,0.73,2.72,0
17,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
17,3,335.19,1926.32,37.17,0.31,1.94,6.35,0
17,4,116.98,910.21,54.48,0.01,2.20,4.42,0
18,1,20.77,1069.50,17.41,2.02,3.56,2.60,0
18,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
18,3,21.16,1005.80,37.17,0.31,1.94,6.35,0
18,4,121.21,1733.60,54.48,0.01,2.20,4.42,0
19,1,32.63,846.33,53.07,1.73,3.56,2.68,0
19,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
19,3,106.51,2319.18,37.17,0.73,1.94,6.35,0
19,4,63.31,932.62,54.48,0.01,2.20,9.25,0
20,1,25.80,2613.94,36.92,1.73,10.21,7.82,0
20,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
20,3,374.30,995.92,15.04,0.25,1.94,6.35,0
20,4,128.95,295.01,61.89,0.01,3.43,1.97,0
21,1,32.63,846.33,53.07,1.73,3.56,2.68,0
21,2,37.93,2729.51,54.65,0.01,0.23,1.07,0
21,3,33.95,1164.02,11.26,0.31,0.44,0.78,0
21,4,116.98,910.21,54.48,0.01,2.20,4.42,0
22,1,28.39,25.78,107.15,1.73,3.56,1.60,0
22,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
22,3,97.36,995.92,37.17,0.31,1.94,6.35,0
22,4,116.98,910.21,54.48,0.01,0.33,0.73,0
23,1,57.22,224.67,76.00,1.73,1.50,4.00,0
23,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
23,3,97.36,995.92,37.17,0.31,1.94,6.35,0
23,4,304.33,1871.00,18.00,0.01,2.00,2.00,0
24,1,21.05,627.84,67.25,1.14,1.90,1.06,0
24,2,35.58,795.98,29.49,0.01,0.23,1.07,0
24,3,49.41,701.25,37.17,0.01,1.94,6.35,0
24,4,120.72,1136.39,176.66,0.01,2.20,7.30,0
25,1,32.63,846.33,34.04,1.73,3.56,2.68,0
25,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
25,3,97.36,995.92,37.17,0.31,1.94,6.35,0
25,4,116.98,910.21,54.48,0.01,2.20,4.42,0
26,1,32.63,846.33,53.07,1.73,3.56,2.68,0
26,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
26,3,97.36,995.92,37.17,0.31,1.94,6.35,0
26,4,116.98,910.21,54.48,0.01,2.20,4.42,0
