Region,Building_type,Steel,Concrete,Wood,Copper,Aluminium,Glass,Cement
1,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
1,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
1,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
1,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
2,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
2,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
2,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
2,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
3,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
3,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
3,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
3,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
4,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
4,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
4,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
4,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
5,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
5,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
5,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
5,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
6,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
6,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
6,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
6,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
7,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
7,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
7,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
7,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
8,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
8,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
8,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
8,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
9,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
9,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
9,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
9,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
10,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
10,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
10,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
10,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
11,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
11,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
11,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
11,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
12,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
12,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
12,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
12,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
13,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
13,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
13,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
13,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
14,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
14,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
14,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
14,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
15,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
15,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
15,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
15,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
16,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
16,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
16,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
16,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
17,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
17,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
17,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
17,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
18,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
18,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
18,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
18,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
19,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
19,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
19,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
19,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
20,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
20,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
20,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
20,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
21,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
21,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
21,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
21,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
22,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
22,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
22,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
22,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
23,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
23,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
23,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
23,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
24,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
24,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
24,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
24,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
25,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
25,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
25,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
25,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
26,1,47.34,1102.764,81.445,2.401,5.164,4.257,0
26,2,38.199,1294.222,50.436,0.008,0.234,1.071,0
26,3,106.364,1370.19,67.147,0.459,3.139,7.937,0
26,4,146.168,1134.028,70.501,0.014,3.201,7.503,0
