Region,Building_type,Steel,Concrete,Wood,Copper,Aluminium,Glass,Cement
1,1,8.935,246.328,23.69,0.204,0.988,0.897,0
1,2,26.526,815.756,20.042,0.008,0.234,1.071,0
1,3,29.615,585.944,10.919,0.118,0.449,1.596,0
1,4,45.686,568.808,8.652,0.014,1.332,1.103,0
2,1,8.935,246.328,23.69,0.204,0.988,0.897,0
2,2,26.526,815.756,20.042,0.008,0.234,1.071,0
2,3,29.615,585.944,10.919,0.118,0.449,1.596,0
2,4,45.686,568.808,8.652,0.014,1.332,1.103,0
3,1,8.935,246.328,23.69,0.204,0.988,0.897,0
3,2,26.526,815.756,20.042,0.008,0.234,1.071,0
3,3,29.615,585.944,10.919,0.118,0.449,1.596,0
3,4,45.686,568.808,8.652,0.014,1.332,1.103,0
4,1,8.935,246.328,23.69,0.204,0.988,0.897,0
4,2,26.526,815.756,20.042,0.008,0.234,1.071,0
4,3,29.615,585.944,10.919,0.118,0.449,1.596,0
4,4,45.686,568.808,8.652,0.014,1.332,1.103,0
5,1,8.935,246.328,23.69,0.204,0.988,0.897,0
5,2,26.526,815.756,20.042,0.008,0.234,1.071,0
5,3,29.615,585.944,10.919,0.118,0.449,1.596,0
5,4,45.686,568.808,8.652,0.014,1.332,1.103,0
6,1,8.935,246.328,23.69,0.204,0.988,0.897,0
6,2,26.526,815.756,20.042,0.008,0.234,1.071,0
6,3,29.615,585.944,10.919,0.118,0.449,1.596,0
6,4,45.686,568.808,8.652,0.014,1.332,1.103,0
7,1,8.935,246.328,23.69,0.204,0.988,0.897,0
7,2,26.526,815.756,20.042,0.008,0.234,1.071,0
7,3,29.615,585.944,10.919,0.118,0.449,1.596,0
7,4,45.686,568.808,8.652,0.014,1.332,1.103,0
8,1,8.935,246.328,23.69,0.204,0.988,0.897,0
8,2,26.526,815.756,20.042,0.008,0.234,1.071,0
8,3,29.615,585.944,10.919,0.118,0.449,1.596,0
8,4,45.686,568.808,8.652,0.014,1.332,1.103,0
9,1,8.935,246.328,23.69,0.204,0.988,0.897,0
9,2,26.526,815.756,20.042,0.008,0.234,1.071,0
9,3,29.615,585.944,10.919,0.118,0.449,1.596,0
9,4,45.686,568.808,8.652,0.014,1.332,1.103,0
10,1,8.935,246.328,23.69,0.204,0.988,0.897,0
10,2,26.526,815.756,20.042,0.008,0.234,1.071,0
10,3,29.615,585.944,10.919,0.118,0.449,1.596,0
10,4,45.686,568.808,8.652,0.014,1.332,1.103,0
11,1,8.935,246.328,23.69,0.204,0.988,0.897,0
11,2,26.526,815.756,20.042,0.008,0.234,1.071,0
11,3,29.615,585.944,10.919,0.118,0.449,1.596,0
11,4,45.686,568.808,8.652,0.014,1.332,1.103,0
12,1,8.935,246.328,23.69,0.204,0.988,0.897,0
12,2,26.526,815.756,20.042,0.008,0.234,1.071,0
12,3,29.615,585.944,10.919,0.118,0.449,1.596,0
12,4,45.686,568.808,8.652,0.014,1.332,1.103,0
13,1,8.935,246.328,23.69,0.204,0.988,0.897,0
13,2,26.526,815.756,20.042,0.008,0.234,1.071,0
13,3,29.615,585.944,10.919,0.118,0.449,1.596,0
13,4,45.686,568.808,8.652,0.014,1.332,1.103,0
14,1,8.935,246.328,23.69,0.204,0.988,0.897,0
14,2,26.526,815.756,20.042,0.008,0.234,1.071,0
14,3,29.615,585.944,10.919,0.118,0.449,1.596,0
14,4,45.686,568.808,8.652,0.014,1.332,1.103,0
15,1,8.935,246.328,23.69,0.204,0.988,0.897,0
15,2,26.526,815.756,20.042,0.008,0.234,1.071,0
15,3,29.615,585.944,10.919,0.118,0.449,1.596,0
15,4,45.686,568.808,8.652,0.014,1.332,1.103,0
16,1,8.935,246.328,23.69,0.204,0.988,0.897,0
16,2,26.526,815.756,20.042,0.008,0.234,1.071,0
16,3,29.615,585.944,10.919,0.118,0.449,1.596,0
16,4,45.686,568.808,8.652,0.014,1.332,1.103,0
17,1,8.935,246.328,23.69,0.204,0.988,0.897,0
17,2,26.526,815.756,20.042,0.008,0.234,1.071,0
17,3,29.615,585.944,10.919,0.118,0.449,1.596,0
17,4,45.686,568.808,8.652,0.014,1.332,1.103,0
18,1,8.935,246.328,23.69,0.204,0.988,0.897,0
18,2,26.526,815.756,20.042,0.008,0.234,1.071,0
18,3,29.615,585.944,10.919,0.118,0.449,1.596,0
18,4,45.686,568.808,8.652,0.014,1.332,1.103,0
19,1,8.935,246.328,23.69,0.204,0.988,0.897,0
19,2,26.526,815.756,20.042,0.008,0.234,1.071,0
19,3,29.615,585.944,10.919,0.118,0.449,1.596,0
19,4,45.686,568.808,8.652,0.014,1.332,1.103,0
20,1,8.935,246.328,23.69,0.204,0.988,0.897,0
20,2,26.526,815.756,20.042,0.008,0.234,1.071,0
20,3,29.615,585.944,10.919,0.118,0.449,1.596,0
20,4,45.686,568.808,8.652,0.014,1.332,1.103,0
21,1,8.935,246.328,23.69,0.204,0.988,0.897,0
21,2,26.526,815.756,20.042,0.008,0.234,1.071,0
21,3,29.615,585.944,10.919,0.118,0.449,1.596,0
21,4,45.686,568.808,8.652,0.014,1.332,1.103,0
22,1,8.935,246.328,23.69,0.204,0.988,0.897,0
22,2,26.526,815.756,20.042,0.008,0.234,1.071,0
22,3,29.615,585.944,10.919,0.118,0.449,1.596,0
22,4,45.686,568.808,8.652,0.014,1.332,1.103,0
23,1,8.935,246.328,23.69,0.204,0.988,0.897,0
23,2,26.526,815.756,20.042,0.008,0.234,1.071,0
23,3,29.615,585.944,10.919,0.118,0.449,1.596,0
23,4,45.686,568.808,8.652,0.014,1.332,1.103,0
24,1,8.935,246.328,23.69,0.204,0.988,0.897,0
24,2,26.526,815.756,20.042,0.008,0.234,1.071,0
24,3,29.615,585.944,10.919,0.118,0.449,1.596,0
24,4,45.686,568.808,8.652,0.014,1.332,1.103,0
25,1,8.935,246.328,23.69,0.204,0.988,0.897,0
25,2,26.526,815.756,20.042,0.008,0.234,1.071,0
25,3,29.615,585.944,10.919,0.118,0.449,1.596,0
25,4,45.686,568.808,8.652,0.014,1.332,1.103,0
26,1,8.935,246.328,23.69,0.204,0.988,0.897,0
26,2,26.526,815.756,20.042,0.008,0.234,1.071,0
26,3,29.615,585.944,10.919,0.118,0.449,1.596,0
26,4,45.686,568.808,8.652,0.014,1.332,1.103,0
