Region,Building_type,Steel,Concrete,Wood,Copper,Aluminium,Glass,Cement
1,1,32.629,846.329,53.07,1.728,3.563,2.677,0
1,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
1,3,97.36,995.919,37.165,0.306,1.942,6.353,0
1,4,116.982,910.206,54.477,0.014,2.202,4.424,0
2,1,32.629,846.329,53.07,1.728,3.563,2.677,0
2,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
2,3,97.36,995.919,37.165,0.306,1.942,6.353,0
2,4,116.982,910.206,54.477,0.014,2.202,4.424,0
3,1,32.629,846.329,53.07,1.728,3.563,2.677,0
3,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
3,3,97.36,995.919,37.165,0.306,1.942,6.353,0
3,4,116.982,910.206,54.477,0.014,2.202,4.424,0
4,1,32.629,846.329,53.07,1.728,3.563,2.677,0
4,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
4,3,97.36,995.919,37.165,0.306,1.942,6.353,0
4,4,116.982,910.206,54.477,0.014,2.202,4.424,0
5,1,32.629,846.329,53.07,1.728,3.563,2.677,0
5,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
5,3,97.36,995.919,37.165,0.306,1.942,6.353,0
5,4,116.982,910.206,54.477,0.014,2.202,4.424,0
6,1,32.629,846.329,53.07,1.728,3.563,2.677,0
6,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
6,3,97.36,995.919,37.165,0.306,1.942,6.353,0
6,4,116.982,910.206,54.477,0.014,2.202,4.424,0
7,1,32.629,846.329,53.07,1.728,3.563,2.677,0
7,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
7,3,97.36,995.919,37.165,0.306,1.942,6.353,0
7,4,116.982,910.206,54.477,0.014,2.202,4.424,0
8,1,32.629,846.329,53.07,1.728,3.563,2.677,0
8,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
8,3,97.36,995.919,37.165,0.306,1.942,6.353,0
8,4,116.982,910.206,54.477,0.014,2.202,4.424,0
9,1,32.629,846.329,53.07,1.728,3.563,2.677,0
9,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
9,3,97.36,995.919,37.165,0.306,1.942,6.353,0
9,4,116.982,910.206,54.477,0.014,2.202,4.424,0
10,1,32.629,846.329,53.07,1.728,3.563,2.677,0
10,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
10,3,97.36,995.919,37.165,0.306,1.942,6.353,0
10,4,116.982,910.206,54.477,0.014,2.202,4.424,0
11,1,32.629,846.329,53.07,1.728,3.563,2.677,0
11,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
11,3,97.36,995.919,37.165,0.306,1.942,6.353,0
11,4,116.982,910.206,54.477,0.014,2.202,4.424,0
12,1,32.629,846.329,53.07,1.728,3.563,2.677,0
12,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
12,3,97.36,995.919,37.165,0.306,1.942,6.353,0
12,4,116.982,910.206,54.477,0.014,2.202,4.424,0
13,1,32.629,846.329,53.07,1.728,3.563,2.677,0
13,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
13,3,97.36,995.919,37.165,0.306,1.942,6.353,0
13,4,116.982,910.206,54.477,0.014,2.202,4.424,0
14,1,32.629,846.329,53.07,1.728,3.563,2.677,0
14,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
14,3,97.36,995.919,37.165,0.306,1.942,6.353,0
14,4,116.982,910.206,54.477,0.014,2.202,4.424,0
15,1,32.629,846.329,53.07,1.728,3.563,2.677,0
15,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
15,3,97.36,995.919,37.165,0.306,1.942,6.353,0
15,4,116.982,910.206,54.477,0.014,2.202,4.424,0
16,1,32.629,846.329,53.07,1.728,3.563,2.677,0
16,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
16,3,97.36,995.919,37.165,0.306,1.942,6.353,0
16,4,116.982,910.206,54.477,0.014,2.202,4.424,0
17,1,32.629,846.329,53.07,1.728,3.563,2.677,0
17,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
17,3,97.36,995.919,37.165,0.306,1.942,6.353,0
17,4,116.982,910.206,54.477,0.014,2.202,4.424,0
18,1,32.629,846.329,53.07,1.728,3.563,2.677,0
18,2,32.886,1208.131,34.968,0.008,0.234,1.071,0
