Region,Building_type,Steel,Concrete,Wood,Copper,Aluminium,Glass,Cement
1,1,28.694,790.112,40.706,0.766,1.500,2.196,0
1,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
1,3,49.413,933.000,22.474,0.254,0.464,3.500,0
1,4,81.331,927.629,20.059,0.014,2.524,2.778,0
2,1,28.694,790.112,40.706,0.766,1.500,2.196,0
2,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
2,3,49.413,933.000,22.474,0.254,0.464,3.500,0
2,4,81.331,927.629,20.059,0.014,2.524,2.778,0
3,1,28.694,790.112,40.706,0.766,1.500,2.196,0
3,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
3,3,49.413,933.000,22.474,0.254,0.464,3.500,0
3,4,81.331,927.629,20.059,0.014,2.524,2.778,0
4,1,28.694,790.112,40.706,0.766,1.500,2.196,0
4,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
4,3,49.413,933.000,22.474,0.254,0.464,3.500,0
4,4,81.331,927.629,20.059,0.014,2.524,2.778,0
5,1,28.694,790.112,40.706,0.766,1.500,2.196,0
5,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
5,3,49.413,933.000,22.474,0.254,0.464,3.500,0
5,4,81.331,927.629,20.059,0.014,2.524,2.778,0
6,1,28.694,790.112,40.706,0.766,1.500,2.196,0
6,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
6,3,49.413,933.000,22.474,0.254,0.464,3.500,0
6,4,81.331,927.629,20.059,0.014,2.524,2.778,0
7,1,28.694,790.112,40.706,0.766,1.500,2.196,0
7,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
7,3,49.413,933.000,22.474,0.254,0.464,3.500,0
7,4,81.331,927.629,20.059,0.014,2.524,2.778,0
8,1,28.694,790.112,40.706,0.766,1.500,2.196,0
8,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
8,3,49.413,933.000,22.474,0.254,0.464,3.500,0
8,4,81.331,927.629,20.059,0.014,2.524,2.778,0
9,1,28.694,790.112,40.706,0.766,1.500,2.196,0
9,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
9,3,49.413,933.000,22.474,0.254,0.464,3.500,0
9,4,81.331,927.629,20.059,0.014,2.524,2.778,0
10,1,28.694,790.112,40.706,0.766,1.500,2.196,0
10,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
10,3,49.413,933.000,22.474,0.254,0.464,3.500,0
10,4,81.331,927.629,20.059,0.014,2.524,2.778,0
11,1,28.694,790.112,40.706,0.766,1.500,2.196,0
11,2,35.584,1047.932,40.000,0.008,0.234,1.071,0
11,3,49.413,933.000,22.474,0.254,0.464,3.500,0
