t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1970,17577.15079,20080.66745,7090.157876,4937.790559,4259.793425,6346.910539,2841.405343,1304.726867,773.9186462,7563.406902,14781.58671,6184.174458,4688.861236,4169.054729,2091.399386,6337.21408,6999.936731,800.6863853,2542.755245,536.639784,1229.391469,824.6039025,13476.54328,15331.28286,912.1936246,1370.101701
1971,18025.69727,20588.72549,7131.38741,5135.072168,4627.022219,6490.836146,2693.478952,1385.492595,800.5674452,7680.81426,15199.47227,6603.938621,4822.902764,4344.087974,2169.72593,6596.910387,7619.62802,796.2614082,2695.758296,566.5772331,1269.913584,861.4948133,13916.96535,15691.06238,877.3311961,1408.710883
1972,18755.83176,21545.43285,7482.805701,5338.451822,5062.171224,6497.796042,2964.885851,1391.376295,804.2030781,7600.828668,15796.78907,6871.40425,5046.163598,4423.321679,2199.454417,6713.989231,8453.768498,774.7964737,2768.703626,591.6256897,1319.411175,906.8879606,14878.81981,16085.18566,805.4591586,1423.225824
1973,19822.00024,22608.0398,7827.696081,5395.165455,5634.888954,6636.508931,2966.554657,1412.12769,798.6519628,7737.135449,16672.98204,7164.144852,5075.278657,4718.647998,2335.703638,7157.659198,9221.719327,783.1032581,3030.456638,636.1968053,1407.654929,971.1509168,15854.72664,16413.83121,828.6378276,1457.275869
1974,20318.24545,22299.50247,8035.033051,5357.972888,6001.287807,6804.255399,3170.683966,1502.656135,809.7330774,7994.748617,16982.6771,7718.882329,5222.71623,4898.224563,2413.558237,7431.844328,10048.6926,774.9597661,3192.20861,633.6603567,1445.375523,1024.679737,15458.05612,16917.32452,853.477778,1480.217587
1975,20451.18755,22060.53528,8251.832464,5451.597769,6166.7407,6732.177669,3279.305993,1452.760996,823.1337568,7922.091888,16776.04938,8040.49314,5459.658249,4981.046252,2443.151274,7560.976484,10053.4973,827.0153613,3334.331895,658.5935972,1469.265944,1060.138345,15746.73889,16790.77111,846.1299857,1421.379799
1976,21262.92464,23036.40781,8374.157132,5626.064608,6612.647826,6781.431288,3621.714211,1515.540085,854.1343453,7898.799981,17432.06345,8480.506893,5888.265011,5241.750916,2559.255137,7954.265853,10780.2035,821.7554483,3603.50598,675.8063686,1568.290987,1094.293971,16198.00832,16948.99201,866.3408124,1387.807195
1977,21739.12527,23887.93623,8421.251881,5897.804191,6756.24471,6982.910798,3794.45885,1525.413592,869.6584724,7699.677266,17852.02049,9000.720362,5950.076132,5465.191831,2656.145819,8293.799502,10917.79399,861.3548876,3883.855303,720.6265962,1638.323492,1159.308421,16747.40693,17074.64232,867.5639599,1346.51397
1978,22334.2702,24995.59292,8935.027148,6102.65266,6812.455053,6943.699259,3907.862525,1461.468766,841.2718951,7741.20851,18323.94819,9468.698702,5905.608016,5695.736951,2755.574241,8645.483998,10536.47373,889.7241832,4166.839173,790.7790773,1714.774426,1238.283392,17476.81296,16971.2867,906.8548785,1298.552878
1979,22921.16423,25552.23292,9560.347811,6092.561107,7104.537468,7185.399546,4075.366945,1479.400416,832.8495907,7840.325248,18929.63035,9789.171725,5740.512711,5836.728747,2811.000072,8864.585428,10947.23627,823.8906984,4377.383727,840.6167213,1794.445177,1295.251657,18283.87516,17308.82372,916.9550414,1281.161148
1980,23163.13632,25256.3288,10205.25962,6013.287271,7572.32667,7190.426195,4095.043449,1452.904802,828.7049816,8153.931541,19177.91541,9744.631724,5478.383435,6069.516582,2910.013226,9216.291891,10746.24799,859.5059709,4271.04292,890.6026624,1855.655669,1373.326047,18649.31576,17521.97882,939.1576296,1295.58886
1981,23729.1402,25658.00143,10869.08547,6111.061825,7072.421097,7047.316241,3853.738492,1362.239796,832.10682,8375.336576,19175.8006,9523.310903,5620.011208,6321.346551,3023.481694,9617.574439,10356.82288,890.5605974,4453.970061,931.0031171,1906.573298,1450.29682,19046.45869,17855.64022,970.4667608,1267.77474
1982,22823.86463,24922.98149,10593.2534,6097.064632,6950.201751,6683.035158,3984.951707,1341.224471,831.9491804,8131.013377,19304.96659,9487.43557,5695.206346,6751.726721,3210.97855,10248.43166,9462.220738,900.8347738,4688.231468,976.3886028,2020.038614,1435.47944,19425.15139,18193.99317,989.39853,1231.32397
1983,23211.37169,25807.67342,9964.058631,6153.557109,6561.689869,6425.477885,3995.508435,1282.052939,831.0628815,7779.050816,19603.87838,9685.796362,5852.216319,7000.91568,3315.33586,10627.06263,9060.028633,945.1629553,5079.115521,1053.122033,2062.688448,1522.774913,19597.74709,17668.37716,1015.108699,1201.37466
