year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1820,0.037517241,0.048675458,0.124812885,0.092380248,0.047102964,0.067276082,0.155786876,0.134058214,0.183545412,0.068161829,0.396732768,0.340512514,0.281727166,0.262305416,0.176675126,0.22907674,0.229603792,0.386321627,0.296741032,0.457809903,0.117087352,0.152780855,0.29709138,0.028021694,0.219138429,0.207835015
1821,0.03914023,0.050226284,0.125491868,0.094090554,0.048052966,0.068735639,0.157344799,0.135096525,0.186972344,0.069038698,0.400675292,0.342988889,0.282688629,0.264726017,0.178305516,0.231723821,0.230659751,0.387878004,0.296920718,0.461055855,0.11815376,0.154050691,0.297407638,0.027827996,0.220910238,0.211003492
1822,0.040763218,0.051821002,0.126170851,0.09580086,0.049002968,0.070195197,0.158902723,0.136134836,0.190399277,0.069915567,0.404521101,0.345465265,0.283650092,0.267146618,0.179935905,0.234370902,0.231715709,0.389441774,0.297100404,0.464323288,0.119220168,0.155329049,0.297723897,0.027698864,0.222682048,0.214171969
1823,0.042386207,0.053405965,0.126849834,0.097511165,0.04995297,0.071665359,0.160460646,0.137173148,0.19382621,0.070792436,0.408386822,0.34794164,0.284611555,0.269567218,0.181566294,0.237017983,0.232771667,0.391011091,0.29728009,0.467615781,0.120286575,0.15661593,0.298040155,0.027698864,0.224453857,0.217340446
1824,0.044009195,0.054995806,0.127528817,0.099221471,0.050902972,0.073135521,0.162018569,0.138211459,0.197253142,0.071669305,0.412258232,0.350418016,0.285573019,0.271987819,0.183196684,0.239665064,0.233827625,0.392585952,0.297459776,0.470929755,0.121352983,0.157919855,0.298356414,0.027892562,0.226225667,0.220508923
1825,0.045632184,0.05658077,0.1282078,0.100931776,0.051852974,0.074605683,0.163576493,0.13924977,0.200680075,0.072546174,0.416160932,0.352894391,0.286534482,0.27440842,0.184827073,0.242312145,0.234883584,0.394168207,0.297639462,0.474268788,0.122419391,0.159232303,0.298663089,0.027957128,0.227997476,0.2236774
1826,0.047255172,0.05817061,0.128886784,0.102642082,0.052802976,0.076086449,0.165134416,0.140288081,0.204107008,0.073423043,0.419878737,0.355370766,0.287495945,0.276829021,0.186457462,0.244959226,0.235939542,0.395757856,0.297819148,0.477630495,0.123485799,0.160553273,0.298979347,0.02776343,0.229769286,0.226845878
1827,0.048878161,0.059745821,0.129565767,0.104352388,0.053752979,0.077567216,0.166692339,0.141326393,0.20753394,0.074299912,0.423468538,0.357847142,0.288457408,0.279249621,0.188087851,0.247606307,0.2369955,0.397351201,0.297998834,0.481017263,0.124552206,0.161891288,0.29930519,0.027634298,0.231541095,0.230014355
1828,0.050501149,0.061355168,0.13024475,0.106062693,0.054702981,0.079047983,0.168250263,0.142364704,0.210960873,0.075176781,0.42702136,0.360323517,0.289418871,0.281670222,0.189718241,0.250253388,0.238051459,0.398953789,0.29817852,0.484426703,0.125618614,0.163237826,0.299621448,0.027505165,0.233312905,0.233182832
1829,0.052124138,0.062940132,0.130923733,0.107772999,0.055652983,0.080528749,0.169808186,0.143403015,0.214387806,0.07605365,0.430500225,0.362799893,0.290380334,0.284090823,0.19134863,0.25290047,0.239107417,0.400560074,0.298358206,0.487861204,0.126685022,0.164592886,0.299937707,0.027505165,0.235084714,0.236351309
1830,0.053747126,0.064568987,0.131602716,0.109483304,0.056602985,0.082020121,0.171366109,0.144441326,0.217814738,0.076930519,0.433927888,0.365276268,0.291341798,0.286511423,0.192979019,0.255547551,0.240163375,0.402175601,0.298537892,0.491319572,0.127751429,0.165956468,0.300253965,0.02776343,0.236856524,0.239519786
1831,0.056174713,0.066612371,0.132281699,0.11119361,0.057552987,0.083511492,0.172924033,0.145479638,0.221241671,0.077807388,0.437167811,0.367752643,0.292303261,0.288932024,0.194609409,0.258194632,0.241219333,0.403794824,0.298717578,0.491685985,0.128817837,0.167337095,0.300570224,0.02776343,0.238628333,0.242688263
1832,0.058602299,0.068655756,0.132960682,0.112903916,0.058502989,0.085002863,0.174481956,0.146517949,0.224668604,0.078684257,0.440268353,0.370229019,0.293264724,0.291352625,0.196239798,0.260841713,0.242275292,0.40542329,0.298897264,0.492052397,0.129884245,0.168726244,0.300886482,0.027892562,0.240400143,0.24585674
