Region,Type,Area,Shape,Scale
1,Detached,Urban,1.96820464,57.52862846
1,Semi-detached,Urban,1.96820464,57.52862846
1,Appartments,Urban,1.96820464,57.52862846
1,High-rise,Urban,1.96820464,57.52862846
1,Detached,Rural,1.96820464,57.52862846
1,Semi-detached,Rural,1.96820464,57.52862846
1,Appartments,Rural,1.96820464,57.52862846
1,High-rise,Rural,1.96820464,57.52862846
2,Detached,Urban,4.16343417,85.18683893
2,Semi-detached,Urban,4.16343417,85.18683893
2,Appartments,Urban,4.16343417,85.18683893
2,High-rise,Urban,4.16343417,85.18683893
2,Detached,Rural,4.16343417,85.18683893
2,Semi-detached,Rural,4.16343417,85.18683893
2,Appartments,Rural,4.16343417,85.18683893
2,High-rise,Rural,4.16343417,85.18683893
3,Detached,Urban,1.96820464,63.16869007
3,Semi-detached,Urban,1.96820464,63.16869007
3,Appartments,Urban,1.96820464,63.16869007
3,High-rise,Urban,1.96820464,63.16869007
3,Detached,Rural,1.96820464,63.16869007
3,Semi-detached,Rural,1.96820464,63.16869007
3,Appartments,Rural,1.96820464,63.16869007
3,High-rise,Rural,1.96820464,63.16869007
4,Detached,Urban,1.96820464,67.35799478
4,Semi-detached,Urban,1.96820464,67.35799478
4,Appartments,Urban,1.96820464,67.35799478
4,High-rise,Urban,1.96820464,67.35799478
4,Detached,Rural,1.96820464,67.35799478
4,Semi-detached,Rural,1.96820464,67.35799478
4,Appartments,Rural,1.96820464,67.35799478
4,High-rise,Rural,1.96820464,67.35799478
5,Detached,Urban,1.96820464,112.8012323
5,Semi-detached,Urban,1.96820464,112.8012323
5,Appartments,Urban,1.96820464,112.8012323
5,High-rise,Urban,1.96820464,112.8012323
5,Detached,Rural,1.96820464,112.8012323
5,Semi-detached,Rural,1.96820464,112.8012323
5,Appartments,Rural,1.96820464,112.8012323
5,High-rise,Rural,1.96820464,112.8012323
6,Detached,Urban,1.96820464,68.24474552
6,Semi-detached,Urban,1.96820464,68.24474552
6,Appartments,Urban,1.96820464,68.24474552
6,High-rise,Urban,1.96820464,68.24474552
6,Detached,Rural,1.96820464,68.24474552
6,Semi-detached,Rural,1.96820464,68.24474552
6,Appartments,Rural,1.96820464,68.24474552
6,High-rise,Rural,1.96820464,68.24474552
7,Detached,Urban,1.96820464,67.35799478
7,Semi-detached,Urban,1.96820464,67.35799478
7,Appartments,Urban,1.96820464,67.35799478
7,High-rise,Urban,1.96820464,67.35799478
7,Detached,Rural,1.96820464,67.35799478
7,Semi-detached,Rural,1.96820464,67.35799478
7,Appartments,Rural,1.96820464,67.35799478
7,High-rise,Rural,1.96820464,67.35799478
8,Detached,Urban,1.96820464,67.35799478
8,Semi-detached,Urban,1.96820464,67.35799478
8,Appartments,Urban,1.96820464,67.35799478
8,High-rise,Urban,1.96820464,67.35799478
8,Detached,Rural,1.96820464,67.35799478
8,Semi-detached,Rural,1.96820464,67.35799478
8,Appartments,Rural,1.96820464,67.35799478
8,High-rise,Rural,1.96820464,67.35799478
9,Detached,Urban,1.96820464,67.35799478
9,Semi-detached,Urban,1.96820464,67.35799478
